,gasrig_count,gas_price,gaswell_count,gasimports_amount,gasconsumption_amount
2016-07-23,83.74193548387098,2.8,1471.0,262.8652903225806,2202.057870967742
2016-07-24,83.54838709677419,2.8,1471.0,262.7672580645161,2202.7597741935483
2016-07-25,83.35483870967742,2.8,1471.0,262.6692258064516,2203.461677419355
2016-07-26,83.16129032258064,2.84,1471.0,262.5711935483871,2204.1635806451613
2016-07-27,82.96774193548387,2.84,1471.0,262.4731612903226,2204.8654838709676
2016-07-28,82.7741935483871,2.79,1471.0,262.3751290322581,2205.5673870967744
2016-07-29,82.58064516129032,2.97,1471.0,262.2770967741935,2206.2692903225807
2016-07-30,82.38709677419355,2.97,1471.0,262.179064516129,2206.971193548387
2016-07-31,82.19354838709677,2.97,1471.0,262.0810322580645,2207.6730967741937
2016-08-01,82.0,2.97,1471.0,261.983,2208.375
2016-08-02,82.29032258064517,2.79,1471.0,261.2251935483871,2199.967806451613
2016-08-03,82.58064516129032,2.89,1471.0,260.4673870967742,2191.560612903226
2016-08-04,82.87096774193549,2.89,1471.0,259.7095806451613,2183.1534193548387
2016-08-05,83.16129032258064,2.88,1471.0,258.9517741935484,2174.7462258064515
2016-08-06,83.45161290322581,2.87,1471.0,258.19396774193547,2166.3390322580644
2016-08-07,83.74193548387098,2.86,1471.0,257.43616129032256,2157.9318387096773
2016-08-08,84.03225806451613,2.85,1471.0,256.6783548387097,2149.52464516129
2016-08-09,84.3225806451613,2.85,1471.0,255.92054838709677,2141.117451612903
2016-08-10,84.61290322580645,2.76,1471.0,255.16274193548387,2132.710258064516
2016-08-11,84.90322580645162,2.7,1471.0,254.404935483871,2124.303064516129
2016-08-12,85.19354838709677,2.7,1471.0,253.64712903225808,2115.8958709677418
2016-08-13,85.48387096774194,2.716666666666667,1471.0,252.88932258064517,2107.4886774193546
2016-08-14,85.7741935483871,2.7333333333333334,1471.0,252.13151612903226,2099.0814838709675
2016-08-15,86.06451612903226,2.75,1471.0,251.37370967741936,2090.6742903225804
2016-08-16,86.35483870967742,2.75,1471.0,250.61590322580645,2082.2670967741933
2016-08-17,86.64516129032258,2.76,1471.0,249.85809677419357,2073.859903225806
