,gasrig_count,gas_price,gaswell_count,gasimports_amount,gasconsumption_amount
2001-02-04,1.0714285714285552,-0.4066666666666663,15.928571428571331,2.12957142857141,-4.487928571428711
2001-02-05,1.0714285714285552,-0.4066666666666663,15.928571428571558,2.1295714285714666,-4.487928571428256
2001-02-06,1.0714285714285552,-0.7633333333333336,15.928571428571558,2.12957142857141,-4.487928571428256
2001-02-07,1.0714285714285552,-0.4800000000000004,15.928571428571331,2.12957142857141,-4.487928571428711
2001-02-08,1.0714285714285552,0.6500000000000004,15.928571428571331,2.1295714285714666,-4.487928571428711
2001-02-09,1.0714285714286689,0.5700000000000003,15.928571428571558,2.12957142857141,-4.487928571428711
2001-02-10,1.0714285714285552,-0.16666666666666696,15.928571428571331,2.12957142857141,-4.487928571428711
2001-02-11,1.0714285714285552,-0.33333333333333304,15.928571428571331,2.1295714285714666,-4.487928571428711
2001-02-12,1.0714285714285552,-0.33333333333333304,15.928571428571558,2.12957142857141,-4.487928571428256
2001-02-13,1.0714285714285552,-0.3266666666666671,15.928571428571558,2.12957142857141,-4.487928571428256
2001-02-14,1.0714285714285552,0.14999999999999947,15.928571428571331,2.1295714285714666,-4.487928571428711
2001-02-15,1.0714285714285552,-0.23000000000000043,15.928571428571331,2.1295714285714666,-4.487928571428711
2001-02-16,1.0714285714286689,-0.3199999999999994,15.928571428571558,2.12957142857141,-4.487928571428711
2001-02-17,1.0714285714285552,0.120000000000001,15.928571428571331,2.12957142857141,-4.487928571428711
2001-02-18,1.0714285714285552,-0.20000000000000018,15.928571428571331,2.1295714285714666,-4.487928571428711
2001-02-19,1.0714285714285552,-0.20000000000000107,15.928571428571558,2.12957142857141,-4.487928571428256
2001-02-20,1.0714285714285552,-0.20000000000000018,15.928571428571558,2.12957142857141,-4.487928571428256
2001-02-21,1.0714285714285552,-0.0699999999999994,15.928571428571331,2.1295714285714666,-4.487928571428711
2001-02-22,1.0714285714285552,-0.05999999999999961,15.928571428571331,2.12957142857141,-4.487928571428711
2001-02-23,1.0714285714286689,-0.15000000000000036,15.928571428571558,2.12957142857141,-4.487928571428711
2001-02-24,1.0714285714285552,-0.05333333333333368,15.928571428571558,2.1295714285714666,-4.487928571428711
2001-02-25,1.0714285714285552,0.013333333333333641,15.928571428571331,2.12957142857141,-4.487928571428711
2001-02-26,1.0714285714285552,0.013333333333333641,15.928571428571331,2.12957142857141,-4.487928571428256
2001-02-27,1.0714285714285552,0.006666666666666821,15.928571428571558,2.1295714285714666,-4.487928571428256
2001-02-28,1.0714285714285552,0.17999999999999972,15.928571428571331,2.12957142857141,-4.487928571428711
2001-03-01,1.0714285714285552,0.17999999999999972,15.928571428571331,2.12957142857141,-4.487928571428711
2001-03-02,1.9550691244239715,-0.1900000000000004,8.35138248847943,-0.21037557603682444,-16.42019009216574
2001-03-03,2.838709677419388,-0.1033333333333335,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-04,2.838709677419388,0.17333333333333378,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-05,2.838709677419274,0.17333333333333378,0.7741935483870748,-2.5503225806451724,-28.352451612903224
